Provinsi,Tahun,Bulan,Kasus Aktif,Simpanan,- Giro,- Tabungan,- Simpanan Berjangka,Pinjaman yang diberikan,- Modal Kerja,- Investasi,- Konsumsi,Kredit UMKM,- Mikro,- Kecil,- Menengah
Jawa Barat,2020,6,41829,558785040.0,99851848.0,243250967.0,215682226.0,738933160.0,294362677.0,128636345.0,315934138.0,147494343.0,40432470.0,44394760.0,62667112.0
Jawa Barat,2020,7,81566,558266211.0,95288702.0,243690721.0,219286789.0,742106139.0,295365910.0,129795894.0,316944336.0,147009252.0,39234307.0,44501313.0,63273632.0
Jawa Barat,2020,8,103976,557747382.0,90725555.0,244130475.0,222891352.0,741756379.0,295421282.0,129027502.0,317307595.0,147406767.0,38168121.0,44628366.0,64610280.0
Jawa Barat,2020,9,197546,567439270.0,97834964.0,248958609.0,220645697.0,755890287.0,304590189.0,133282522.0,318017576.0,148839121.0,37281196.0,45622051.0,65935874.0
Jawa Barat,2021,4,830158,600969799.0,107275544.0,262849782.0,230844473.0,763662375.0,300171218.0,135610718.0,327880441.0,147841394.0,29928494.0,49481382.0,68431519.0
Jawa Barat,2021,5,916892,609962552.0,103578311.0,268920842.0,237463399.0,763837806.0,299817455.0,134897779.0,329122572.0,147851253.0,29509321.0,50740742.0,67601191.0
Jawa Barat,2021,6,866916,620974731.0,117890437.0,272249252.0,230835042.0,766890830.0,302469477.0,133309400.0,331111953.0,149165005.0,29319939.0,51973543.0,67871523.0
Jawa Barat,2021,7,3203498,598509384.0,103603010.0,271501020.0,223405354.0,758059583.0,291948324.0,134271176.0,331840083.0,149466685.0,29000252.0,53049609.0,67416824.0
Jawa Barat,2021,8,2053239,602719099.0,106065894.0,272478210.0,224174996.0,763988930.0,296646263.0,134257994.0,333084674.0,151147741.0,29793930.0,55163090.0,66190722.0
Jawa Barat,2021,9,218416,620639293.0,114361423.0,280441044.0,225836826.0,771314189.0,302166334.0,133304065.0,335843790.0,152427949.0,30312681.0,56803279.0,65311989.0
Jawa Tengah,2020,4,7913,333574392.0,39254451.0,177309898.0,117010043.0,360297571.0,194223985.0,64024033.0,102049553.0,127539436.0,48250901.0,43598781.0,35689753.0
